Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-03 20:00:00,32775.1,33861.92,32600.0,33000.05,15462.33986,2021-01-03 23:59:59.999,515961491.8619836,371359,7604.774993,253857984.6274934,0
2021-01-04 00:00:00,33000.05,33588.0,32400.25,33505.16,14536.79062,2021-01-04 03:59:59.999,480464953.8616408,327255,7073.924013,233831013.31267703,0
2021-01-04 04:00:00,33505.15,33600.0,31505.0,32068.84,21398.871909,2021-01-04 07:59:59.999,701401904.4192685,414734,11016.529498,361097511.557936,0
2021-01-04 08:00:00,32068.84,32567.88,28130.0,30743.06,46591.471025,2021-01-04 11:59:59.999,1417817418.0990508,773993,21800.712599,663484828.91132,0
2021-01-04 12:00:00,30742.99,32185.67,30454.25,31745.72,26592.539453,2021-01-04 15:59:59.999,834727120.3831356,470560,12617.515823,396060237.7851907,0
2021-01-04 16:00:00,31745.71,31920.0,30626.36,31665.51,19886.660603,2021-01-04 19:59:59.999,620725769.1765472,375567,10451.49495,326221629.66383487,0
2021-01-04 20:00:00,31665.52,32031.01,30856.08,31988.71,11893.55208,2021-01-04 23:59:59.999,373873183.7557021,280299,6128.292347,192740187.7860293,0
2021-01-05 00:00:00,31989.75,32853.38,31130.86,31200.0,20813.0786,2021-01-05 03:59:59.999,672370621.7292922,388923,11188.615029,361654009.202994,0
2021-01-05 04:00:00,31190.04,31538.45,29900.0,30817.77,23019.057178,2021-01-05 07:59:59.999,709420501.5660572,516921,10754.628892,331360927.2028385,0
2021-01-05 08:00:00,30817.78,31821.94,30817.78,31776.66,13255.6011,2021-01-05 11:59:59.999,416370776.8270581,334534,7003.038911,220019453.65984267,0
2021-01-05 12:00:00,31776.66,32375.07,31111.78,32099.98,16243.276369,2021-01-05 15:59:59.999,516942035.3631131,394782,8773.504812,279292102.6793839,0
2021-01-05 16:00:00,32099.97,34187.09,31763.23,33697.75,23832.165758,2021-01-05 19:59:59.999,788306836.9160733,506591,12682.248709,419781729.0035478,0
2021-01-05 20:00:00,33693.8,34360.0,33318.0,33949.53,18886.818033,2021-01-05 23:59:59.999,640206372.2453215,385100,9289.718402,315086871.8929429,0
2021-01-06 00:00:00,33949.53,34170.0,33288.0,34117.59,15779.353879,2021-01-06 03:59:59.999,533400577.3330188,302027,7290.072339,246581498.8313419,0
2021-01-06 04:00:00,34116.76,35766.58,34109.83,34676.4,26152.96499,2021-01-06 07:59:59.999,914192106.7230765,490567,14729.638924,514598899.3123698,0
2021-01-06 08:00:00,34666.8,35200.0,33357.9,34918.53,21063.050567,2021-01-06 11:59:59.999,725343211.0452188,438644,10020.723687,345299317.3863112,0
2021-01-06 12:00:00,34918.54,35088.0,34052.42,34566.19,18644.311939,2021-01-06 15:59:59.999,643936817.9030052,416338,8913.581748,307940703.7863554,0
2021-01-06 16:00:00,34566.18,35695.0,34372.92,34816.72,18876.49598,2021-01-06 19:59:59.999,661674596.5122433,405455,9048.37971,317388606.4512341,0
2021-01-06 20:00:00,34818.95,36939.21,34280.0,36769.36,26623.023955,2021-01-06 23:59:59.999,953406939.0030519,538752,13050.518244,467823444.4539364,0
2021-01-07 00:00:00,36769.36,37699.0,36422.71,37454.48,19662.246626,2021-01-07 03:59:59.999,727630384.2995182,397381,9816.251301,363430410.36943704,0
2021-01-07 04:00:00,37452.62,37700.8,36710.0,36859.85,16315.182158,2021-01-07 07:59:59.999,607327166.3624591,375767,7529.63989,280434415.7334371,0
2021-01-07 08:00:00,36863.04,37913.72,36300.0,37822.09,17213.968918,2021-01-07 11:59:59.999,639522639.5454152,346303,8380.024635,311669126.25395316,0
2021-01-07 12:00:00,37825.64,38970.42,37518.0,38970.42,22645.701477,2021-01-07 15:59:59.999,866390866.5290877,472157,10859.532859,415595393.9377581,0
2021-01-07 16:00:00,38970.41,40365.0,36500.0,39062.0,39368.560182,2021-01-07 19:59:59.999,1531233997.5021038,802410,19669.524471,766515775.1657264,0
